Namespace()
Dataset: Adiac/ | BestAcc: 84.399
Dataset: Adiac1/ | BestAcc: 78.005
Dataset: Adiac2/ | BestAcc: 83.887
Dataset: Adiacwave/ | BestAcc: 81.841
Dataset: Adiacwave1/ | BestAcc: 83.376
Dataset: CricketX/ | BestAcc: 71.538
Dataset: CricketX1/ | BestAcc: 74.359
Dataset: CricketX1multi/ | BestAcc: 74.615
Dataset: CricketX1wave/ | BestAcc: 72.564
Dataset: ECG200/ | BestAcc: 95.000
Dataset: ECG2001/ | BestAcc: 94.000
Dataset: ECGFiveDaysmulti/ | BestAcc: 97.793
Dataset: ECGFiveDayswave/ | BestAcc: 92.799
Dataset: FordAmulti/ | BestAcc: 94.848
Dataset: FordAmulti0/ | BestAcc: 94.167
Dataset: FordAwave/ | BestAcc: 95.076
Dataset: FordAwave0/ | BestAcc: 94.697
